StudentId,Courseld,PaymentDate,PaymentNo,PaymentAmount
13,228,1/5/2018,1,6688
13,228,1/6/2018,2,6688
13,228,1/7/2018,3,6688
13,228,1/8/2018,4,6688
13,228,1/9/2018,5,6688
13,228,1/10/2018,6,6688
13,228,1/11/2018,7,6688
13,228,1/12/2018,8,6688
13,228,1/1/2019,9,6688
13,228,1/2/2019,10,6688
14,70,1/11/2014,1,2142
14,70,1/12/2014,2,2142
14,70,1/1/2015,3,2142
14,70,1/2/2015,4,2142
14,70,1/3/2015,5,2142
14,70,1/4/2015,6,2142
14,70,1/5/2015,7,2142
14,70,1/6/2015,8,2142
14,70,1/7/2015,9,2142
14,70,1/8/2015,10,2142
14,70,1/9/2015,11,2142
15,70,1/11/2014,1,4501
15,70,1/12/2014,2,4501
15,70,1/1/2015,3,4501
15,70,1/2/2015,4,4501
15,70,1/3/2015,5,4501
15,70,1/4/2015,6,4501
15,70,1/5/2015,7,4501
15,70,1/6/2015,8,4501
15,70,1/7/2015,9,4501
17,79,1/3/2014,1,1047
17,79,1/4/2014,2,1047
17,79,1/5/2014,3,1047
21,474,1/4/2019,1,3402
21,192,1/4/2018,1,6411
21,112,1/5/2018,1,33075
21,192,1/5/2018,2,6411
21,112,1/6/2018,2,33075
21,474,1/5/2019,2,3402
21,474,1/6/2019,3,3402
21,192,1/6/2018,3,6411
21,112,1/7/2018,3,33075
21,192,1/7/2018,4,6411
21,474,1/7/2019,4,3402
21,474,1/8/2019,5,3402
21,192,1/8/2018,5,6411
21,192,1/9/2018,6,6411
21,474,1/9/2019,6,3402
21,192,1/10/2018,7,6411
21,474,1/10/2019,7,3402
21,192,1/11/2018,8,6411
21,474,1/11/2019,8,3402
21,192,1/12/2018,9,6411
21,474,1/12/2019,9,3402
21,192,1/1/2019,10,6411
21,474,1/1/2020,10,3402
21,192,1/2/2019,11,6411
21,474,1/2/2020,11,3402
21,192,1/3/2019,12,6411
21,474,1/3/2020,12,3402
26,292,1/11/2018,1,7815
26,464,1/7/2019,1,3925
26,162,1/4/2018,1,14067
26,318,1/12/2018,1,3028
26,162,1/5/2018,2,14067
26,318,1/1/2019,2,3028
26,464,1/8/2019,2,3925
26,292,1/12/2018,2,7815
26,292,1/1/2019,3,7815
26,464,1/9/2019,3,3925
26,162,1/6/2018,3,14067
26,318,1/2/2019,3,3028
26,162,1/7/2018,4,14067
26,318,1/3/2019,4,3028
26,464,1/10/2019,4,3925
26,292,1/2/2019,4,7815
26,292,1/3/2019,5,7815
26,162,1/8/2018,5,14067
26,318,1/4/2019,5,3028
26,464,1/11/2019,5,3925
26,292,1/4/2019,6,7815
26,318,1/5/2019,6,3028
26,464,1/12/2019,6,3925
26,292,1/5/2019,7,7815
26,318,1/6/2019,7,3028
26,464,1/1/2020,7,3925
26,292,1/6/2019,8,7815
26,318,1/7/2019,8,3028
26,464,1/2/2020,8,3925
26,292,1/7/2019,9,7815
26,318,1/8/2019,9,3028
26,464,1/3/2020,9,3925
26,318,1/9/2019,10,3028
26,464,1/4/2020,10,3925
26,318,1/10/2019,11,3028
26,464,1/5/2020,11,3925
26,318,1/11/2019,12,3028
26,464,1/6/2020,12,3925
26,318,1/12/2019,13,3028
26,318,1/1/2020,14,3028
34,122,1/3/2018,1,5118
34,122,1/4/2018,2,5118
34,122,1/5/2018,3,5118
34,122,1/6/2018,4,5118
34,122,1/7/2018,5,5118
34,122,1/8/2018,6,5118
34,122,1/9/2018,7,5118
34,122,1/10/2018,8,5118
34,122,1/11/2018,9,5118
34,122,1/12/2018,10,5118
35,69,1/12/2014,1,2174
35,69,1/1/2015,2,2174
35,69,1/2/2015,3,2174
35,69,1/3/2015,4,2174
35,69,1/4/2015,5,2174
35,69,1/5/2015,6,2174
35,69,1/6/2015,7,2174
35,69,1/7/2015,8,2174
35,69,1/8/2015,9,2174
35,69,1/9/2015,10,2174
35,69,1/10/2015,11,2174
35,69,1/11/2015,12,2174
35,69,1/12/2015,13,2174
42,265,1/7/2018,1,12769
42,265,1/8/2018,2,12769
42,265,1/9/2018,3,12769
43,368,1/1/2019,1,20379
43,573,1/12/2019,1,11932
43,604,1/12/2019,1,48105
43,134,1/2/2018,1,28888
43,396,1/2/2019,1,29223
43,400,1/2/2019,1,5605
43,468,1/5/2019,1,12560
43,134,1/3/2018,2,28888
43,396,1/3/2019,2,29223
43,400,1/3/2019,2,5605
43,468,1/6/2019,2,12560
43,573,1/1/2020,2,11932
43,604,1/1/2020,2,48105
43,368,1/2/2019,2,20379
43,368,1/3/2019,3,20379
43,573,1/2/2020,3,11932
43,604,1/2/2020,3,48105
43,134,1/4/2018,3,28888
43,396,1/4/2019,3,29223
43,400,1/4/2019,3,5605
43,468,1/7/2019,3,12560
43,134,1/5/2018,4,28888
43,400,1/5/2019,4,5605
43,468,1/8/2019,4,12560
43,573,1/3/2020,4,11932
43,368,1/4/2019,4,20379
43,368,1/5/2019,5,20379
43,400,1/6/2019,5,5605
43,468,1/9/2019,5,12560
43,573,1/4/2020,5,11932
43,400,1/7/2019,6,5605
43,368,1/6/2019,6,20379
43,368,1/7/2019,7,20379
43,400,1/8/2019,7,5605
43,400,1/9/2019,8,5605
43,368,1/8/2019,8,20379
43,368,1/9/2019,9,20379
43,400,1/10/2019,9,5605
43,368,1/10/2019,10,20379
43,400,1/11/2019,10,5605
44,70,1/11/2014,1,3376
44,70,1/12/2014,2,3376
44,70,1/1/2015,3,3376
44,70,1/2/2015,4,3376
44,70,1/3/2015,5,3376
44,70,1/4/2015,6,3376
44,70,1/5/2015,7,3376
44,70,1/6/2015,8,3376
44,70,1/7/2015,9,3376
44,70,1/8/2015,10,3376
44,70,1/9/2015,11,3376
44,70,1/10/2015,12,3376
48,70,1/11/2014,1,2084
48,70,1/12/2014,2,2084
48,70,1/1/2015,3,2084
48,70,1/2/2015,4,2084
48,70,1/3/2015,5,2084
48,70,1/4/2015,6,2084
48,70,1/5/2015,7,2084
48,70,1/6/2015,8,2084
48,70,1/7/2015,9,2084
48,70,1/8/2015,10,2084
48,70,1/9/2015,11,2084
48,70,1/10/2015,12,2084
48,70,1/11/2015,13,2084
48,70,1/12/2015,14,2084
49,70,1/11/2014,1,2691
49,70,1/12/2014,2,2691
49,70,1/1/2015,3,2691
49,70,1/2/2015,4,2691
49,70,1/3/2015,5,2691
49,70,1/4/2015,6,2691
49,70,1/5/2015,7,2691
49,70,1/6/2015,8,2691
49,70,1/7/2015,9,2691
49,70,1/8/2015,10,2691
49,70,1/9/2015,11,2691
49,70,1/10/2015,12,2691
49,70,1/11/2015,13,2691
49,70,1/12/2015,14,2691
54,226,1/7/2018,1,13345
54,114,1/3/2018,1,18840
54,226,1/8/2018,2,13345
54,114,1/4/2018,2,18840
54,226,1/9/2018,3,13345
54,114,1/5/2018,3,18840
54,226,1/10/2018,4,13345
58,496,1/7/2019,1,7458
58,496,1/8/2019,2,7458
58,496,1/9/2019,3,7458
58,496,1/10/2019,4,7458
59,171,1/4/2018,1,18269
59,444,1/6/2019,1,4879
59,171,1/5/2018,2,18269
59,444,1/7/2019,2,4879
59,171,1/6/2018,3,18269
59,444,1/8/2019,3,4879
59,171,1/7/2018,4,18269
59,444,1/9/2019,4,4879
59,171,1/8/2018,5,18269
59,444,1/10/2019,5,4879
59,171,1/9/2018,6,18269
59,444,1/11/2019,6,4879
59,171,1/10/2018,7,18269
59,444,1/12/2019,7,4879
59,171,1/11/2018,8,18269
59,444,1/1/2020,8,4879
59,171,1/12/2018,9,18269
59,444,1/2/2020,9,4879
59,171,1/1/2019,10,18269
59,444,1/3/2020,10,4879
59,171,1/2/2019,11,18269
59,444,1/4/2020,11,4879
59,444,1/5/2020,12,4879
59,444,1/6/2020,13,4879
61,70,1/11/2014,1,6751
61,70,1/12/2014,2,6751
61,70,1/1/2015,3,6751
61,70,1/2/2015,4,6751
61,70,1/3/2015,5,6751
61,70,1/4/2015,6,6751
63,211,1/5/2018,1,14496
63,490,1/6/2019,1,7993
63,211,1/6/2018,2,14496
63,490,1/7/2019,2,7993
63,211,1/7/2018,3,14496
63,490,1/8/2019,3,7993
63,211,1/8/2018,4,14496
63,490,1/9/2019,4,7993
63,211,1/9/2018,5,14496
63,490,1/10/2019,5,7993
63,211,1/10/2018,6,14496
63,490,1/11/2019,6,7993
63,490,1/12/2019,7,7993
63,490,1/1/2020,8,7993
63,490,1/2/2020,9,7993
63,490,1/3/2020,10,7993
63,490,1/4/2020,11,7993
65,70,1/11/2014,1,5787
65,70,1/12/2014,2,5787
65,70,1/1/2015,3,5787
655555,707070,1/2/2015,4,5787
65,70,1/3/2015,5,5787
65,70,1/4/2015,6,5787
65,70,1/5/2015,7,5787
67,394,1/1/2019,1,10467
67,435,1/4/2019,1,8112
67,435,1/5/2019,2,8112
67,394,1/2/2019,2,10467
67,394,1/3/2019,3,10467
67,435,1/6/2019,3,8112
67,435,1/7/2019,4,8112
67,394,1/4/2019,4,10467
67,394,1/5/2019,5,10467
67,435,1/8/2019,5,8112
67,435,1/9/2019,6,8112
67,394,1/6/2019,6,10467
67,435,1/10/2019,7,8112
67,435,1/11/2019,8,8112
67,435,1/12/2019,9,8112
67,435,1/1/2020,10,8112
67,435,1/2/2020,11,8112
67,435,1/3/2020,12,8112
68,70,1/11/2014,1,9357
68,70,1/12/2014,2,9357
68,70,1/1/2015,3,9357
68,70,1/2/2015,4,9357
68,70,1/3/2015,5,9357
70,69,1/12/2014,1,2174
70,69,1/1/2015,2,2174
70,69,1/2/2015,3,2174
70,69,1/3/2015,4,2174
70,69,1/4/2015,5,2174
70,69,1/5/2015,6,2174
70,69,1/6/2015,7,2174
70,69,1/7/2015,8,2174
70,69,1/8/2015,9,2174
70,69,1/9/2015,10,2174
70,69,1/10/2015,11,2174
70,69,1/11/2015,12,2174
70,69,1/12/2015,13,2174
74,67,1/1/2015,1,5558
74,67,1/2/2015,2,5558
74,67,1/3/2015,3,5558
74,67,1/4/2015,4,5558
74,67,1/5/2015,5,5558
76,69,1/12/2014,1,2569
76,69,1/1/2015,2,2569
76,69,1/2/2015,3,2569
76,69,1/3/2015,4,2569
76,69,1/4/2015,5,2569
76,69,1/5/2015,6,2569
76,69,1/6/2015,7,2569
76,69,1/7/2015,8,2569
76,69,1/8/2015,9,2569
76,69,1/9/2015,10,2569
76,69,1/10/2015,11,2569
77,575,1/12/2019,1,5742
77,543,1/8/2019,1,13659
77,543,1/9/2019,2,13659
77,575,1/1/2020,2,5742
77,575,1/2/2020,3,5742
77,543,1/10/2019,3,13659
77,575,1/3/2020,4,5742
77,543,1/11/2019,4,13659
77,575,1/4/2020,5,5742
77,543,1/12/2019,5,13659
77,575,1/5/2020,6,5742
77,543,1/1/2020,6,13659
77,575,1/6/2020,7,5742
77,543,1/2/2020,7,13659
77,543,1/3/2020,8,13659
77,543,1/4/2020,9,13659
77,543,1/5/2020,10,13659
78,69,1/12/2014,1,5495
78,69,1/1/2015,2,5495
78,69,1/2/2015,3,5495
78,69,1/3/2015,4,5495
78,69,1/4/2015,5,5495
78,69,1/5/2015,6,5495
81,531,1/7/2019,1,20630
81,531,1/8/2019,2,20630
81,531,1/9/2019,3,20630
81,531,1/10/2019,4,20630
82,371,1/4/2019,1,8177
82,371,1/5/2019,2,8177
82,371,1/6/2019,3,8177
82,371,1/7/2019,4,8177
82,371,1/8/2019,5,8177
82,371,1/9/2019,6,8177
82,371,1/10/2019,7,8177
85,70,1/11/2014,1,1570
85,70,1/12/2014,2,1570
85,70,1/1/2015,3,1570
85,70,1/2/2015,4,1570
85,70,1/3/2015,5,1570
88,74,1/7/2014,1,3211
88,74,1/8/2014,2,3211
88,74,1/9/2014,3,3211
91,67,1/1/2015,1,3532
91,373,1/12/2018,1,7671
91,67,1/2/2015,2,3532
91,373,1/1/2019,2,7671
91,67,1/3/2015,3,3532
91,373,1/2/2019,3,7671
91,67,1/4/2015,4,3532
91,373,1/3/2019,4,7671
91,67,1/5/2015,5,3532
91,373,1/4/2019,5,7671
91,67,1/6/2015,6,3532
91,373,1/5/2019,6,7671
91,67,1/7/2015,7,3532
91,373,1/6/2019,7,7671
91,67,1/8/2015,8,3532
92,70,1/11/2014,1,9942
92,70,1/12/2014,2,9942
92,70,1/1/2015,3,9942
92,70,1/2/2015,4,9942
93,131,1/3/2018,1,5369
93,549,1/10/2019,1,6210
93,131,1/4/2018,2,5369
93,549,1/11/2019,2,6210
93,131,1/5/2018,3,5369
93,549,1/12/2019,3,6210
93,131,1/6/2018,4,5369
93,549,1/1/2020,4,6210
93,131,1/7/2018,5,5369
93,549,1/2/2020,5,6210
93,131,1/8/2018,6,5369
93,549,1/3/2020,6,6210
93,131,1/9/2018,7,5369
9393939,549,1/4/2020,7,6210
93,131,1/10/2018,8,5369
93,549,1/5/2020,8,6210
93,131,1/11/2018,9,5369
93,549,1/6/2020,9,6210
93,131,1/12/2018,10,5369
94,222,1/6/2018,1,16998
94,222,1/7/2018,2,16998
94,222,1/8/2018,3,16998
95,70,1/11/2014,1,8541
95,70,1/12/2014,2,8541
95,70,1/1/2015,3,8541
95,70,1/2/2015,4,8541
95,70,1/3/2015,5,8541
99,52,1/4/2016,1,3116
99,52,1/5/2016,2,3116
99,52,1/6/2016,3,3116
99,52,1/7/2016,4,3116
99,52,1/8/2016,5,3116
99,52,1/9/2016,6,3116
99,52,1/10/2016,7,3116
99,52,1/11/2016,8,3116
99,52,1/12/2016,9,3116
99,52,1/1/2017,10,3116
99,52,1/2/2017,11,3116
99,52,1/3/2017,12,3116
99,52,1/4/2017,13,3116
111,69,1/12/2014,1,9028
111,614,1/1/2018,1,1706
111,69,1/1/2015,2,9028
111,614,1/2/2018,2,1706
111,69,1/2/2015,3,9028
111,614,1/3/2018,3,1706
111,69,1/3/2015,4,9028
111,614,1/4/2018,4,1706
111,614,1/5/2018,5,1706
111,614,1/6/2018,6,1706
111,614,1/7/2018,7,1706
111,614,1/8/2018,8,1706
111,614,1/9/2018,9,1706
111,614,1/10/2018,10,1706
111,614,1/11/2018,11,1706
111,614,1/12/2018,12,1706
111,614,1/1/2019,13,1706
111,614,1/2/2019,14,1706
114,66,1/3/2015,1,3622
114,66,1/4/2015,2,3622
114,66,1/5/2015,3,3622
114,66,1/6/2015,4,3622
114,66,1/7/2015,5,3622
114,66,1/8/2015,6,3622
114,66,1/9/2015,7,3622
117,65,1/4/2015,1,9734
117,65,1/5/2015,2,9734
117,65,1/6/2015,3,9734
117,65,1/7/2015,4,9734
122,268,1/9/2018,1,7177
122,268,1/10/2018,2,7177
122,268,1/11/2018,3,7177
122,268,1/12/2018,4,7177
122,268,1/1/2019,5,7177
122,268,1/2/2019,6,7177
122,268,1/3/2019,7,7177
129,53,1/4/2016,1,7252
129,67,1/1/2015,1,2355
129,53,1/5/2016,2,7252
129,67,1/2/2015,2,2355
129,53,1/6/2016,3,7252
129,67,1/3/2015,3,2355
129,53,1/7/2016,4,7252
129,67,1/4/2015,4,2355
129,53,1/8/2016,5,7252
129,67,1/5/2015,5,2355
129,53,1/9/2016,6,7252
129,67,1/6/2015,6,2355
129,67,1/7/2015,7,2355
129,67,1/8/2015,8,2355
129,67,1/9/2015,9,2355
129,67,1/10/2015,10,2355
129,67,1/11/2015,11,2355
129,67,1/12/2015,12,2355
134,66,1/3/2015,1,2708
134,66,1/4/2015,2,2708
134,66,1/5/2015,3,2708
134,66,1/6/2015,4,2708
134,66,1/7/2015,5,2708
134,66,1/8/2015,6,2708
134,66,1/9/2015,7,2708
134,66,1/10/2015,8,2708
134,66,1/11/2015,9,2708
134,66,1/12/2015,10,2708
134,66,1/1/2016,11,2708
134,66,1/2/2016,12,2708
134,66,1/3/2016,13,2708
138,68,1/1/2015,1,7820
138,68,1/2/2015,2,7820
138,68,1/3/2015,3,7820
138,68,1/4/2015,4,7820
138,68,1/5/2015,5,7820
138,68,1/6/2015,6,7820
138,68,1/7/2015,7,7820
142,69,1/12/2014,1,2486
142,1,1/3/2017,1,5146
142,69,1/1/2015,2,2486
142,1,1/4/2017,2,5146
142,69,1/2/2015,3,2486
142,1,1/5/2017,3,5146
142,69,1/3/2015,4,2486
142,1,1/6/2017,4,5146
142,69,1/4/2015,5,2486
142,1,1/7/2017,5,5146
142,69,1/5/2015,6,2486
142,1,1/8/2017,6,5146
142,69,1/6/2015,7,2486
142,1,1/9/2017,7,5146
142,69,1/7/2015,8,2486
142,69,1/8/2015,9,2486
142,69,1/9/2015,10,2486
142,69,1/10/2015,11,2486
142,69,1/11/2015,12,2486
144,69,1/12/2014,1,4012
144,69,1/1/2015,2,4012
144,69,1/2/2015,3,4012
144,69,1/3/2015,4,4012
144,69,1/4/2015,5,4012
144,69,1/5/2015,6,4012
144,69,1/6/2015,7,4012
144,69,1/7/2015,8,4012
144,69,1/8/2015,9,4012
148,74,1/7/2014,1,2186
148,74,1/8/2014,2,2186
148,74,1/9/2014,3,2186
148,74,1/10/2014,4,2186
148,74,1/11/2014,5,2186
149,69,1/12/2014,1,9028
149,69,1/1/2015,2,9028
149,69,1/2/2015,3,9028
149,69,1/3/2015,4,9028
154,68,1/1/2015,1,8448
154,68,1/2/2015,2,8448
154,68,1/3/2015,3,8448
154,68,1/4/2015,4,8448
154,68,1/5/2015,5,8448
158,60,1/8/2015,1,2778
158,199,1/8/2017,1,1751
158,60,1/9/2015,2,2778
158,199,1/9/2017,2,1751
158,60,1/10/2015,3,2778
158,199,1/10/2017,3,1751
158,60,1/11/2015,4,2778
158,60,1/12/2015,5,2778
158,60,1/1/2016,6,2778
158,60,1/2/2016,7,2778
158,60,1/3/2016,8,2778
158,60,1/4/2016,9,2778
158,60,1/5/2016,10,2778
158,60,1/6/2016,11,2778
158,60,1/7/2016,12,2778
158,60,1/8/2016,13,2778
160,343,1/11/2018,1,6241
160,343,1/12/2018,2,6241
160,343,1/1/2019,3,6241
160,343,1/2/2019,4,6241
160,343,1/3/2019,5,6241
160,343,1/4/2019,6,6241
160,343,1/5/2019,7,6241
160,343,1/6/2019,8,6241
164,189,1/6/2018,1,4748
164,189,1/7/2018,2,4748
164,189,1/8/2018,3,4748
164,189,1/9/2018,4,4748
164,189,1/10/2018,5,4748
164,189,1/11/2018,6,4748
164,189,1/12/2018,7,4748
164,189,1/1/2019,8,4748
164,189,1/2/2019,9,4748
164,189,1/3/2019,10,4748
164,189,1/4/2019,11,4748
164,189,1/5/2019,12,4748
164,189,1/6/2019,13,4748
165,68,1/1/2015,1,10126
165,68,1/2/2015,2,10126
165,68,1/3/2015,3,10126
165,68,1/4/2015,4,10126
166,552,1/12/2019,1,1708
166,67,1/1/2015,1,7040
166,67,1/2/2015,2,7040
166,552,1/1/2020,2,1708
166,552,1/2/2020,3,1708
166,67,1/3/2015,3,7040
166,67,1/4/2015,4,7040
166,552,1/3/2020,4,1708
166,67,1/5/2015,5,7040
166,552,1/4/2020,5,1708
166,552,1/5/2020,6,1708
166,552,1/6/2020,7,1708
168,67,1/1/2015,1,3911
168,67,1/2/2015,2,3911
168,67,1/3/2015,3,3911
168,67,1/4/2015,4,3911
168,67,1/5/2015,5,3911
168,67,1/6/2015,6,3911
168,67,1/7/2015,7,3911
168,67,1/8/2015,8,3911
168,67,1/9/2015,9,3911
169,67,1/1/2015,1,3520
169,67,1/2/2015,2,3520
169,67,1/3/2015,3,3520
169,67,1/4/2015,4,3520
169,67,1/5/2015,5,3520
169,67,1/6/2015,6,3520
169,67,1/7/2015,7,3520
169,67,1/8/2015,8,3520
169,67,1/9/2015,9,3520
169,67,1/10/2015,10,3520
170,67,1/1/2015,1,7458
170,67,1/2/2015,2,7458
170,67,1/3/2015,3,7458
170,67,1/4/2015,4,7458
172,67,1/1/2015,1,3911
172,67,1/2/2015,2,3911
172,67,1/3/2015,3,3911
172,67,1/4/2015,4,3911
172,67,1/5/2015,5,3911
172,67,1/6/2015,6,3911
172,67,1/7/2015,7,3911
172,67,1/8/2015,8,3911
172,67,1/9/2015,9,3911
175,68,1/1/2015,1,15595
175,68,1/2/2015,2,15595
175,68,1/3/2015,3,15595
176,68,1/1/2015,1,4253
176,68,1/2/2015,2,4253
176,68,1/3/2015,3,4253
176,68,1/4/2015,4,4253
176,68,1/5/2015,5,4253
176,68,1/6/2015,6,4253
176,68,1/7/2015,7,4253
176,68,1/8/2015,8,4253
176,68,1/9/2015,9,4253
176,68,1/10/2015,10,4253
176,68,1/11/2015,11,4253
186,390,1/1/2019,1,8747
186,390,1/2/2019,2,8747
186,390,1/3/2019,3,8747
186,390,1/4/2019,4,8747
186,390,1/5/2019,5,8747
186,390,1/6/2019,6,8747
186,390,1/7/2019,7,8747
191,623,1/12/2019,1,7458
191,76,1/5/2014,1,4082
191,76,1/6/2014,2,4082
191,623,1/1/2020,2,7458
191,623,1/2/2020,3,7458
191,76,1/7/2014,3,4082
191,76,1/8/2014,4,4082
191,623,1/3/2020,4,7458
191,76,1/9/2014,5,4082
195,401,1/12/2018,1,3014
195,362,1/12/2018,1,1954
195,401,1/1/2019,2,3014
195,362,1/1/2019,2,1954
195,401,1/2/2019,3,3014
195,362,1/2/2019,3,1954
195,401,1/3/2019,4,3014
195,362,1/3/2019,4,1954
195,401,1/4/2019,5,3014
195,362,1/4/2019,5,1954
195,401,1/5/2019,6,3014
195,362,1/5/2019,6,1954
195,401,1/6/2019,7,3014
195,362,1/6/2019,7,1954
195,362,1/7/2019,8,1954
195,362,1/8/2019,9,1954
196,69,1/12/2014,1,5757
196,69,1/1/2015,2,5757
196,69,1/2/2015,3,5757
196,69,1/3/2015,4,5757
196,69,1/4/2015,5,5757
196,69,1/5/2015,6,5757
198,68,1/1/2015,1,3119
198,68,1/2/2015,2,3119
198,68,1/3/2015,3,3119
198,68,1/4/2015,4,3119
198,68,1/5/2015,5,3119
198,68,1/6/2015,6,3119
198,68,1/7/2015,7,3119
198,68,1/8/2015,8,3119
198,68,1/9/2015,9,3119
198,68,1/10/2015,10,3119
198,68,1/11/2015,11,3119
198,68,1/12/2015,12,3119
198,68,1/1/2016,13,3119
198,68,1/2/2016,14,3119
198,68,1/3/2016,15,3119
203,66,1/3/2015,1,6669
203,622,1/1/2020,1,6658
203,66,1/4/2015,2,6669
203,622,1/2/2020,2,6658
203,66,1/5/2015,3,6669
203,622,1/3/2020,3,6658
203,66,1/6/2015,4,6669
203,622,1/4/2020,4,6658
203,66,1/7/2015,5,6669
203,622,1/5/2020,5,6658
203,622,1/6/2020,6,6658
203,622,1/7/2020,7,6658
204,66,1/3/2015,1,4012
204,66,1/4/2015,2,4012
204,66,1/5/2015,3,4012
204,66,1/6/2015,4,4012
204,66,1/7/2015,5,4012
204,66,1/8/2015,6,4012
204,66,1/9/2015,7,4012
204,66,1/10/2015,8,4012
204,66,1/11/2015,9,4012
206,68,1/1/2015,1,3599
206,68,1/2/2015,2,3599
206,68,1/3/2015,3,3599
206,68,1/4/2015,4,3599
206,68,1/5/2015,5,3599
206,68,1/6/2015,6,3599
206,68,1/7/2015,7,3599
206,68,1/8/2015,8,3599
206,68,1/9/2015,9,3599
206,68,1/10/2015,10,3599
206,68,1/11/2015,11,3599
206,68,1/12/2015,12,3599
206,68,1/1/2016,13,3599
207,66,1/3/2015,1,5757
207,66,1/4/2015,2,5757
207,66,1/5/2015,3,5757
207,66,1/6/2015,4,5757
207,66,1/7/2015,5,5757
207,66,1/8/2015,6,5757
215,69,1/12/2014,1,2407
215,69,1/1/2015,2,2407
215,69,1/2/2015,3,2407
215,69,1/3/2015,4,2407
215,69,1/4/2015,5,2407
215,69,1/5/2015,6,2407
215,69,1/6/2015,7,2407
215,69,1/7/2015,8,2407
215,69,1/8/2015,9,2407
215,69,1/9/2015,10,2407
215,69,1/10/2015,11,2407
215,69,1/11/2015,12,2407
215,69,1/12/2015,13,2407
215,69,1/1/2016,14,2407
215,69,1/2/2016,15,2407
223,67,1/1/2015,1,4253
223,67,1/2/2015,2,4253
223,67,1/3/2015,3,4253
223,67,1/4/2015,4,4253
223,67,1/5/2015,5,4253
223,67,1/6/2015,6,4253
223,67,1/7/2015,7,4253
223,67,1/8/2015,8,4253
223,67,1/9/2015,9,4253
223,67,1/10/2015,10,4253
223,67,1/11/2015,11,4253
224,69,1/12/2014,1,1575
224,69,1/1/2015,2,1575
224,69,1/2/2015,3,1575
224,69,1/3/2015,4,1575
224,69,1/4/2015,5,1575
224,69,1/5/2015,6,1575
224,69,1/6/2015,7,1575
224,69,1/7/2015,8,1575
227,163,1/2/2018,1,3158
227,164,1/3/2018,1,3158
227,165,1/3/2018,1,3158
227,163,1/3/2018,2,3158
227,164,1/4/2018,2,3158
227,165,1/4/2018,2,3158
227,163,1/4/2018,3,3158
227,164,1/5/2018,3,3158
227,165,1/5/2018,3,3158
227,163,1/5/2018,4,3158
227,164,1/6/2018,4,3158
227,165,1/6/2018,4,3158
227,163,1/6/2018,5,3158
227,164,1/7/2018,5,3158
227,165,1/7/2018,5,3158
227,163,1/7/2018,6,3158
227,164,1/8/2018,6,3158
227,165,1/8/2018,6,3158
227,163,1/8/2018,7,3158
